delta_v (RPM),w (rad/s),v_x (m/s)
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.055,0.0010472,0
-0.00916667,0.000174533,0.0149261
-0.375833,0.00715585,0.0170584
-0.6875,0.01309,0.0234553
0,0,0.0255876
0.77,-0.0146608,0.0298522
-1.98,0.0376991,0.0298522
0.935,-0.0178024,0.0277199
1.22833,-0.0233874,0.0341168
-2.18167,0.0415388,0.0298522
0.715,-0.0136136,0.0298522
1.155,-0.0219911,0.0341168
-2.15417,0.0410152,0.0319845
1.53083,-0.029147,0.0341168
-0.595833,0.0113446,0.0383814
0.916667,-0.0174533,0.0319845
-0.1925,0.00366519,0.0362491
-2.38333,0.0453786,0.0319845
1.49417,-0.0284489,0.0319845
-0.623333,0.0118682,0.0383814
-0.339167,0.00645772,0.0319845
1.41167,-0.0268781,0.0405137
-2.76833,0.0527089,0.0362491
2.2825,-0.0434587,0.0383814
-0.559167,0.0106465,0.0405137
1.045,-0.0198968,0.0383814
0.999167,-0.0190241,0.042646
-1.47583,0.0280998,0.0405137
0.751667,-0.0143117,0.0405137
-1.54917,0.0294961,0.0362491
2.23667,-0.042586,0.0341168
-0.495,0.00942478,0.0405137
-0.476667,0.00907571,0.0405137
-0.2475,0.00471239,0.0447783
-1.77833,0.0338594,0.042646
0.669167,-0.0127409,0.042646
